wl,n,wl,k,,,
0.75024768,1.50281,,,,,
0.75182727,1.50278,,,,,
0.75340674,1.50274,,,,,
0.75498614,1.50271,,,,,
0.75656543,1.50268,,,,,
0.75814465,1.50264,,,,,
0.75972375,1.50261,,,,,
0.76130273,1.50257,,,,,
0.76288159,1.50254,,,,,
0.76446039,1.50251,,,,,
0.76603912,1.50248,,,,,
0.76761768,1.50244,,,,,
0.76919617,1.50241,,,,,
0.77077454,1.50238,,,,,
0.77235284,1.50235,,,,,
0.77393103,1.50231,,,,,
0.77550915,1.50228,,,,,
0.77708704,1.50225,,,,,
0.77866492,1.50222,,,,,
0.78024274,1.50219,,,,,
0.78182037,1.50216,,,,,
0.78339789,1.50212,,,,,
0.78497534,1.50209,,,,,
0.78655267,1.50206,,,,,
0.78812994,1.50203,,,,,
0.78970703,1.502,,,,,
0.79128406,1.50197,,,,,
0.79286096,1.50194,,,,,
0.79443774,1.50191,,,,,
0.79601446,1.50188,,,,,
0.797591,1.50185,,,,,
0.79916748,1.50182,,,,,
0.80074383,1.50179,,,,,
0.80232013,1.50176,,,,,
0.80389624,1.50173,,,,,
0.80547229,1.5017,,,,,
0.80704816,1.50167,,,,,
0.80862396,1.50164,,,,,
0.81019965,1.50161,,,,,
0.81177521,1.50158,,,,,
0.81335071,1.50156,,,,,
0.81492602,1.50153,,,,,
0.81650122,1.5015,,,,,
0.81807636,1.50147,,,,,
0.81965137,1.50144,,,,,
0.82122626,1.50141,,,,,
0.82280096,1.50139,,,,,
0.82437561,1.50136,,,,,
0.8259502,1.50133,,,,,
0.8275246,1.5013,,,,,
0.82909882,1.50127,,,,,
0.83067304,1.50125,,,,,
0.83224707,1.50122,,,,,
0.83382098,1.50119,,,,,
0.83539484,1.50116,,,,,
0.83696857,1.50114,,,,,
0.83854211,1.50111,,,,,
0.84011554,1.50108,,,,,
0.84168884,1.50106,,,,,
0.84326208,1.50103,,,,,
0.84483514,1.501,,,,,
0.84640808,1.50098,,,,,
0.84798096,1.50095,,,,,
