wl,n,wl,k
3.62,1.000272757,3.62,0
3.63,1.000272757,3.63,0
3.64,1.000272757,3.64,0
3.65,1.000272756,3.65,0
3.66,1.000272756,3.66,0
3.67,1.000272756,3.67,0
3.68,1.000272756,3.68,0
3.69,1.000272756,3.69,0
3.7,1.000272756,3.7,0
3.71,1.000272755,3.71,0
3.72,1.000272755,3.72,0
3.73,1.000272755,3.73,0
3.74,1.000272755,3.74,0
3.75,1.000272754,3.75,0
3.76,1.000272754,3.76,0
3.77,1.000272753,3.77,0
3.78,1.000272752,3.78,0
3.79,1.000272751,3.79,0
3.8,1.00027275,3.8,0
3.81,1.000272749,3.81,0
3.82,1.000272748,3.82,0
3.83,1.000272747,3.83,0
3.84,1.000272745,3.84,0
3.85,1.000272744,3.85,0
3.86,1.000272742,3.86,0
3.87,1.00027274,3.87,0
3.88,1.000272737,3.88,0
3.89,1.000272735,3.89,0
3.9,1.000272732,3.9,0
3.91,1.000272729,3.91,0
3.92,1.000272726,3.92,0
3.93,1.000272722,3.93,0
3.94,1.000272719,3.94,0
3.95,1.000272715,3.95,0
3.96,1.00027271,3.96,0
3.97,1.000272706,3.97,0
3.98,1.000272701,3.98,0
3.99,1.000272695,3.99,0
4,1.00027269,4,0
4.01,1.000272684,4.01,0
4.02,1.000272677,4.02,0
4.03,1.000272671,4.03,0
4.04,1.000272663,4.04,0
4.05,1.000272656,4.05,0
4.06,1.000272648,4.06,0
4.07,1.00027264,4.07,0
4.08,1.000272631,4.08,0
4.09,1.000272621,4.09,0
4.1,1.000272612,4.1,0
4.11,1.000272601,4.11,0
4.12,1.000272591,4.12,0
4.13,1.000272579,4.13,0
4.14,1.000272568,4.14,0
4.15,1.000272555,4.15,0
4.16,1.000272543,4.16,0
4.17,1.000272529,4.17,0
4.18,1.000272515,4.18,0
4.19,1.000272501,4.19,0
4.2,1.000272486,4.2,0
4.35,1.000273011,4.35,0
4.36,1.000272988,4.36,0
4.37,1.000272967,4.37,0
4.38,1.000272949,4.38,0
4.39,1.000272932,4.39,0
4.4,1.000272917,4.4,0
4.41,1.000272903,4.41,0
4.42,1.000272891,4.42,0
4.43,1.00027288,4.43,0
4.44,1.00027287,4.44,0
4.45,1.000272861,4.45,0
4.46,1.000272854,4.46,0
4.47,1.000272847,4.47,0
4.48,1.00027284,4.48,0
4.49,1.000272835,4.49,0
4.5,1.00027283,4.5,0
4.51,1.000272826,4.51,0
4.52,1.000272822,4.52,0
4.53,1.000272818,4.53,0
4.54,1.000272815,4.54,0
4.55,1.000272812,4.55,0
4.56,1.00027281,4.56,0
4.57,1.000272807,4.57,0
4.58,1.000272805,4.58,0
4.59,1.000272803,4.59,0
4.6,1.000272802,4.6,0
4.61,1.0002728,4.61,0
4.62,1.000272798,4.62,0
4.63,1.000272797,4.63,0
4.64,1.000272795,4.64,0
4.65,1.000272794,4.65,0
4.66,1.000272793,4.66,0
4.67,1.000272791,4.67,0
4.68,1.00027279,4.68,0
4.69,1.000272789,4.69,0
4.7,1.000272787,4.7,0
4.71,1.000272786,4.71,0
4.72,1.000272785,4.72,0
4.73,1.000272784,4.73,0
4.74,1.000272782,4.74,0
4.75,1.000272781,4.75,0
4.76,1.00027278,4.76,0
4.77,1.000272779,4.77,0
4.78,1.000272777,4.78,0
4.79,1.000272776,4.79,0
4.8,1.000272775,4.8,0
4.81,1.000272774,4.81,0
4.82,1.000272773,4.82,0
4.83,1.000272772,4.83,0
4.84,1.000272771,4.84,0
4.85,1.00027277,4.85,0
4.86,1.000272769,4.86,0
4.87,1.000272768,4.87,0
4.88,1.000272767,4.88,0
4.89,1.000272766,4.89,0
4.9,1.000272765,4.9,0
4.91,1.000272764,4.91,0
4.92,1.000272764,4.92,0
4.93,1.000272763,4.93,0
4.94,1.000272762,4.94,0
4.95,1.000272762,4.95,0
4.96,1.000272761,4.96,0
4.97,1.000272761,4.97,0
4.98,1.00027276,4.98,0
4.99,1.00027276,4.99,0
5,1.000272759,5,0
5.01,1.000272759,5.01,0
5.02,1.000272758,5.02,0
5.03,1.000272758,5.03,0
5.04,1.000272757,5.04,0
5.05,1.000272757,5.05,0
5.06,1.000272756,5.06,0
5.07,1.000272756,5.07,0
5.08,1.000272755,5.08,0
5.09,1.000272755,5.09,0
5.1,1.000272754,5.1,0
5.11,1.000272753,5.11,0
5.12,1.000272752,5.12,0
5.13,1.000272751,5.13,0
5.14,1.00027275,5.14,0
5.15,1.000272749,5.15,0
5.16,1.000272747,5.16,0
5.17,1.000272745,5.17,0
5.18,1.000272743,5.18,0
5.19,1.000272741,5.19,0
5.2,1.000272739,5.2,0
7.5,1.000272702,7.5,0
7.55,1.000272701,7.55,0
7.6,1.000272699,7.6,0
7.65,1.000272699,7.65,0
7.7,1.000272698,7.7,0
7.75,1.000272697,7.75,0
7.8,1.000272697,7.8,0
7.85,1.000272697,7.85,0
7.9,1.000272697,7.9,0
7.95,1.000272697,7.95,0
8,1.000272697,8,0
8.05,1.000272697,8.05,0
8.1,1.000272697,8.1,0
8.15,1.000272697,8.15,0
8.2,1.000272697,8.2,0
8.25,1.000272697,8.25,0
8.3,1.000272697,8.3,0
8.35,1.000272697,8.35,0
8.4,1.000272697,8.4,0
8.45,1.000272697,8.45,0
8.5,1.000272697,8.5,0
8.55,1.000272697,8.55,0
8.6,1.000272697,8.6,0
8.65,1.000272697,8.65,0
8.7,1.000272697,8.7,0
8.75,1.000272697,8.75,0
8.8,1.000272697,8.8,0
8.85,1.000272697,8.85,0
8.9,1.000272697,8.9,0
8.95,1.000272697,8.95,0
9,1.000272696,9,0
9.05,1.000272696,9.05,0
9.1,1.000272696,9.1,0
9.15,1.000272696,9.15,0
9.2,1.000272695,9.2,0
9.25,1.000272695,9.25,0
9.3,1.000272695,9.3,0
9.35,1.000272695,9.35,0
9.4,1.000272695,9.4,0
9.45,1.000272694,9.45,0
9.5,1.000272694,9.5,0
9.55,1.000272694,9.55,0
9.6,1.000272694,9.6,0
9.65,1.000272693,9.65,0
9.7,1.000272693,9.7,0
9.75,1.000272693,9.75,0
9.8,1.000272693,9.8,0
9.85,1.000272693,9.85,0
9.9,1.000272692,9.9,0
9.95,1.000272692,9.95,0
10,1.000272692,10,0
10.05,1.000272692,10.05,0
10.1,1.000272692,10.1,0
10.15,1.000272692,10.15,0
10.2,1.000272692,10.2,0
10.25,1.000272692,10.25,0
10.3,1.000272691,10.3,0
10.35,1.000272691,10.35,0
10.4,1.000272691,10.4,0
10.45,1.000272691,10.45,0
10.5,1.000272691,10.5,0
10.55,1.000272691,10.55,0
