wl,n,wl,k
3.7248,1.54602,3.7248,1.85E-03
3.7355,1.5461,3.7355,1.71E-03
3.7463,1.546,3.7463,1.41E-03
3.7572,1.54576,3.7572,1.33E-03
3.7681,1.54544,3.7681,1.63E-03
3.7791,1.54517,3.7791,1.88E-03
3.7901,1.5451,3.7901,1.81E-03
3.8013,1.54491,3.8013,1.79E-03
3.8124,1.54469,3.8124,1.80E-03
3.8237,1.54449,3.8237,1.64E-03
3.835,1.54437,3.835,1.48E-03
3.8464,1.54427,3.8464,1.60E-03
3.8578,1.54402,3.8578,1.78E-03
3.8693,1.54351,3.8693,1.71E-03
3.8809,1.54313,3.8809,1.44E-03
3.8926,1.54313,3.8926,1.34E-03
3.9043,1.54333,3.9043,1.60E-03
3.9161,1.54344,3.9161,1.85E-03
3.928,1.54334,3.928,1.69E-03
3.9399,1.54303,3.9399,1.46E-03
3.9519,1.54274,3.9519,1.43E-03
3.964,1.54253,3.964,1.58E-03
3.9762,1.54215,3.9762,1.77E-03
3.9884,1.54146,3.9884,1.76E-03
4.0007,1.5409,4.0007,1.42E-03
4.0131,1.5409,4.0131,1.25E-03
4.0255,1.54113,4.0255,1.42E-03
4.0381,1.54105,4.0381,1.80E-03
4.0507,1.54081,4.0507,2.21E-03
4.0634,1.54075,4.0634,2.37E-03
4.0762,1.54073,4.0762,2.29E-03
4.089,1.54042,4.089,2.24E-03
4.102,1.53993,4.102,2.33E-03
4.115,1.53976,4.115,2.58E-03
4.1281,1.5399,4.1281,2.74E-03
4.1413,1.54004,4.1413,2.65E-03
4.1546,1.54002,4.1546,2.40E-03
4.1679,1.5398,4.1679,2.18E-03
4.1814,1.53945,4.1814,1.95E-03
4.1949,1.53926,4.1949,1.80E-03
4.2085,1.53925,4.2085,1.74E-03
4.2222,1.53812,4.2222,1.79E-03
4.236,1.53604,4.236,2.96E-03
4.2499,1.53611,4.2499,2.61E-03
4.2639,1.53632,4.2639,2.64E-03
4.278,1.53676,4.278,2.45E-03
4.2921,1.53739,4.2921,1.80E-03
4.3064,1.53722,4.3064,1.51E-03
4.3208,1.53646,4.3208,1.73E-03
4.3352,1.5354,4.3352,2.31E-03
4.3498,1.53505,4.3498,2.64E-03
4.3644,1.53514,4.3644,2.71E-03
4.3791,1.53498,4.3791,2.73E-03
4.394,1.53439,4.394,2.85E-03
4.4089,1.53384,4.4089,3.03E-03
