Wavelength (um),Rel. global irradiance
0.721,1.09E+03
0.722,1.24E+03
0.723,1.14E+03
0.724,1.06E+03
0.725,1.04E+03
0.726,1.08E+03
0.727,1.09E+03
0.728,1.04E+03
0.729,1.05E+03
0.73,1.13E+03
0.731,1.07E+03
0.732,1.15E+03
0.733,1.20E+03
0.734,1.24E+03
0.735,1.22E+03
0.736,1.21E+03
0.737,1.20E+03
0.738,1.23E+03
0.739,1.19E+03
0.74,1.22E+03
0.741,1.21E+03
0.742,1.22E+03
0.743,1.24E+03
0.744,1.25E+03
0.745,1.25E+03
0.746,1.25E+03
0.747,1.25E+03
0.748,1.24E+03
0.749,1.24E+03
0.75,1.23E+03
0.751,1.23E+03
0.752,1.23E+03
0.753,1.23E+03
0.754,1.24E+03
0.755,1.24E+03
0.756,1.22E+03
0.757,1.22E+03
0.758,1.23E+03
0.759,1.19E+03
0.76,2.66E+02
0.761,1.54E+02
0.762,6.88E+02
0.763,3.80E+02
0.764,5.39E+02
0.765,6.86E+02
0.766,8.15E+02
0.767,9.74E+02
0.768,1.11E+03
0.769,1.13E+03
0.77,1.16E+03
0.771,1.17E+03
0.772,1.18E+03
0.773,1.18E+03
0.774,1.18E+03
0.775,1.18E+03
0.776,1.18E+03
0.777,1.17E+03
0.778,1.17E+03
0.779,1.18E+03
0.78,1.16E+03
0.781,1.16E+03
0.782,1.17E+03
0.783,1.16E+03
0.784,1.15E+03
0.785,1.16E+03
0.786,1.16E+03
0.787,1.15E+03
0.788,1.13E+03
0.789,1.13E+03
0.79,1.09E+03
0.791,1.11E+03
0.792,1.10E+03
0.793,1.09E+03
0.794,1.10E+03
0.795,1.09E+03
0.796,1.07E+03
0.797,1.09E+03
0.798,1.11E+03
0.799,1.09E+03
0.8,1.07E+03
0.801,1.08E+03
0.802,1.09E+03
0.803,1.07E+03
0.804,1.08E+03
0.805,1.05E+03
0.806,1.10E+03
0.807,1.09E+03
0.808,1.08E+03
0.809,1.05E+03
0.81,1.06E+03
0.811,1.05E+03
0.812,1.03E+03
0.813,1.01E+03
0.814,9.04E+02
0.815,8.95E+02
0.816,8.32E+02
0.817,8.52E+02
0.818,8.23E+02
0.819,9.05E+02
0.82,8.62E+02
0.821,9.98E+02
0.822,9.52E+02
0.823,6.73E+02
0.824,9.35E+02
0.825,9.69E+02
0.826,9.34E+02
0.827,9.85E+02
0.828,8.50E+02
0.829,9.29E+02
0.83,9.16E+02
0.831,9.24E+02
0.832,8.94E+02
0.833,9.57E+02
0.834,9.34E+02
0.835,1.00E+03
0.836,9.72E+02
0.837,1.01E+03
0.838,9.99E+02
0.839,1.00E+03
0.84,1.02E+03
0.841,1.01E+03
0.842,9.97E+02
0.843,1.01E+03
0.844,9.86E+02
0.845,1.02E+03
0.846,1.02E+03
0.847,9.92E+02
0.848,9.92E+02
0.849,9.86E+02
0.85,8.94E+02
0.851,9.75E+02
0.852,9.69E+02
0.853,9.65E+02
0.854,8.51E+02
0.855,9.13E+02
0.856,9.73E+02
0.857,9.92E+02
0.858,9.92E+02
0.859,9.92E+02
0.86,9.88E+02
0.861,9.87E+02
0.862,9.94E+02
0.863,1.00E+03
0.864,9.79E+02
0.865,9.63E+02
0.866,8.49E+02
0.867,9.15E+02
0.868,9.59E+02
0.869,9.50E+02
0.87,9.68E+02
0.871,9.54E+02
0.872,9.67E+02
0.873,9.57E+02
0.874,9.40E+02
0.875,9.27E+02
0.876,9.53E+02
0.877,9.56E+02
0.878,9.52E+02
0.879,9.37E+02
0.88,9.40E+02
0.881,9.09E+02
0.882,9.32E+02
0.883,9.29E+02
0.884,9.33E+02
0.885,9.44E+02
0.886,9.08E+02
0.887,9.11E+02
0.888,9.22E+02
0.889,9.35E+02
0.89,9.24E+02
0.891,9.26E+02
0.892,9.09E+02
0.893,8.73E+02
0.894,8.51E+02
0.895,8.14E+02
0.896,7.63E+02
0.897,6.66E+02
0.898,7.18E+02
0.899,5.49E+02
0.9,7.43E+02
0.901,5.99E+02
0.902,6.68E+02
0.903,6.89E+02
0.904,8.45E+02
0.905,8.17E+02
0.906,7.76E+02
0.907,6.39E+02
0.908,6.52E+02
0.909,7.04E+02
0.91,6.25E+02
0.911,6.68E+02
0.912,6.89E+02
0.913,6.28E+02
0.914,6.26E+02
0.915,6.78E+02
0.916,5.76E+02
0.917,7.30E+02
0.918,5.93E+02
0.919,7.39E+02
0.92,7.44E+02
0.921,7.80E+02
0.922,7.00E+02
0.923,7.45E+02
0.924,7.22E+02
0.925,7.11E+02
0.926,7.03E+02
0.927,7.87E+02
0.928,5.90E+02
0.929,5.51E+02
0.93,4.32E+02
0.931,4.09E+02
0.932,3.01E+02
0.933,2.48E+02
0.934,1.44E+02
0.935,2.51E+02
0.936,1.61E+02
0.937,1.63E+02
0.938,2.01E+02
0.939,3.99E+02
0.94,4.72E+02
0.941,3.72E+02
0.942,4.05E+02
0.943,2.78E+02
0.944,2.86E+02
0.945,3.68E+02
0.946,1.95E+02
0.947,3.71E+02
0.948,2.74E+02
0.949,4.94E+02
0.95,1.47E+02
0.951,4.84E+02
0.952,2.69E+02
0.953,3.44E+02
0.954,4.24E+02
0.955,3.41E+02
0.956,3.28E+02
0.957,2.71E+02
0.958,4.61E+02
0.959,3.74E+02
0.96,4.21E+02
0.961,4.61E+02
0.962,4.42E+02
0.963,5.05E+02
0.964,4.59E+02
